Country,Latitude,Longitude
Albania,41.15,20.17
Andorra,42.55,1.6
Argentina,-38.42,-63.62
Armenia,40.07,45.04
Bermuda,32.32,-64.76
Bosnia $ Her.,43.92,17.68
Brazil,-14.24,-51.93
Virgin Isles,18.42,-64.64
Bulgaria,42.73,25.49
Cayman Islands,19.51,-80.57
Chile,-35.68,-71.54
Chinese Taipei,23.7,120.96
Croatia,45.1,15.2
Cyprus,35.13,33.43
Denmark,56.26,9.5
Dominica,15.41,-61.37
East Timor,-8.87,125.73
Estonia,58.6,25.01
Finalnd,61.92,25.75
Georgia,42.32,43.36
Greece,39.07,21.82
Hong Kong,22.4,114.11
Iceland,64.96,-19.02
India,20.59,78.96
Iran,32.43,53.69
Ireland,53.41,-8.24
Israel,31.05,34.85
Jamaica,18.11,-77.3
Kyrgyzstan,41.2,74.77
Lebanon,33.85,35.86
Lithuania,55.17,23.88
Luxembourg,49.82,6.13
Macedonia,41.61,21.75
Malta,35.94,14.38
Mexico,23.63,-102.55
Moldova,47.41,28.37
Monaco,43.75,7.41
Mongolia,46.86,103.85
Montenegro,42.71,19.37
Morocco,31.79,-7.09
Nepal,28.39,84.12
Pakistan,30.38,69.35
Paraguay,-23.44,-58.44
Peru,-9.19,-75.02
Philipines,12.88,121.77
Portugal,39.4,-8.22
Romania,45.94,24.97
San marino,43.94,12.46
Serbia,44.02,21.01
Slovakia,48.67,19.7
Tajikistan,38.86,71.28
Thailand,15.87,100.99
Togo,8.62,0.82
Tonga,-21.18,175.2
Turkey,38.96,35.24
Uzbekistan,41.38,64.59
Venezuela,6.42,-66.59
Zimbabwe,-19.02,29.15
Kazakhstan,48.02,66.92
Latvia,56.88,24.6
Spain,40.46,-3.75
New Zealand,-40.9,174.89
Belgium,50.5,4.47
Slovenia,46.15,15
Australia,-25.27,133.78
Ukraine,48.38,31.17
Hungary,47.16,19.5
Poland,51.92,19.15
Great Britain,55.38,-3.44
Finland,61.92,25.75
Slovakia,48.67,19.7
Czech Republic,49.82,15.47
Belarus,53.71,27.95
Russia,61.52,105.32
Italy,41.87,12.57
Japan,36.2,138.25
Austria,47.52,14.55
France,46.23,2.21
Switzerland,46.82,8.23
South Korea,35.91,127.77
Sweden,60.13,18.64
Netherlands,52.13,5.29
United States,37.09,-95.71
Canada,56.13,-106.35
Germany,51.17,10.45
Norway,60.47,8.47
